
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to data/cifar-10-python.tar.gz




 88%|██████████████████████████████████████████████████████████████████▋         | 149487616/170498071 [00:09<00:01, 17948914.62it/s]

100%|████████████████████████████████████████████████████████████████████████████| 170498071/170498071 [00:10<00:00, 16022372.62it/s]
Epoch [96/400], Train Loss: 0.7194, Test Loss: 0.8827, Test Accuracy: 68.54%
Epoch [97/400], Train Loss: 0.7059, Test Loss: 0.9287, Test Accuracy: 67.07%
Epoch [98/400], Train Loss: 0.6939, Test Loss: 0.9853, Test Accuracy: 65.43%
Epoch [99/400], Train Loss: 0.6923, Test Loss: 0.9934, Test Accuracy: 65.61%
Epoch [100/400], Train Loss: 0.6921, Test Loss: 0.8879, Test Accuracy: 68.92%
Epoch [101/400], Train Loss: 0.6848, Test Loss: 0.9116, Test Accuracy: 68.66%
Epoch [102/400], Train Loss: 0.6753, Test Loss: 0.8861, Test Accuracy: 69.10%
Epoch [103/400], Train Loss: 0.6681, Test Loss: 0.8993, Test Accuracy: 68.14%
Epoch [104/400], Train Loss: 0.6599, Test Loss: 0.9191, Test Accuracy: 67.16%
Epoch [105/400], Train Loss: 0.6535, Test Loss: 1.0258, Test Accuracy: 64.18%
Epoch [106/400], Train Loss: 0.6470, Test Loss: 1.1005, Test Accuracy: 62.26%
Epoch [107/400], Train Loss: 0.6423, Test Loss: 1.2361, Test Accuracy: 58.52%
Epoch [108/400], Train Loss: 0.6369, Test Loss: 1.0665, Test Accuracy: 63.51%
Epoch [109/400], Train Loss: 0.6280, Test Loss: 0.8897, Test Accuracy: 69.21%
Epoch [110/400], Train Loss: 0.6198, Test Loss: 0.8359, Test Accuracy: 70.31%
Epoch [111/400], Train Loss: 0.6146, Test Loss: 0.9010, Test Accuracy: 68.65%
Epoch [112/400], Train Loss: 0.6087, Test Loss: 0.8980, Test Accuracy: 68.84%
Epoch [113/400], Train Loss: 0.6018, Test Loss: 0.8748, Test Accuracy: 69.34%
Epoch [114/400], Train Loss: 0.5962, Test Loss: 0.8574, Test Accuracy: 70.00%
Epoch [115/400], Train Loss: 0.5897, Test Loss: 0.8408, Test Accuracy: 70.54%
Epoch [116/400], Train Loss: 0.5832, Test Loss: 0.8838, Test Accuracy: 68.99%
Epoch [117/400], Train Loss: 0.5764, Test Loss: 0.8245, Test Accuracy: 71.19%
Epoch [118/400], Train Loss: 0.5698, Test Loss: 0.9302, Test Accuracy: 68.36%
Epoch [119/400], Train Loss: 0.5642, Test Loss: 1.0083, Test Accuracy: 65.92%
Epoch [120/400], Train Loss: 0.5617, Test Loss: 0.8669, Test Accuracy: 70.26%
Epoch [121/400], Train Loss: 0.5533, Test Loss: 0.8458, Test Accuracy: 70.65%
Epoch [122/400], Train Loss: 0.5452, Test Loss: 0.8323, Test Accuracy: 70.98%
Epoch [123/400], Train Loss: 0.5371, Test Loss: 0.8707, Test Accuracy: 69.93%
Epoch [124/400], Train Loss: 0.5357, Test Loss: 0.8482, Test Accuracy: 70.57%
Epoch [125/400], Train Loss: 0.5284, Test Loss: 0.8828, Test Accuracy: 69.30%
Epoch [126/400], Train Loss: 0.5233, Test Loss: 0.8318, Test Accuracy: 71.43%
Epoch [127/400], Train Loss: 0.5148, Test Loss: 0.8637, Test Accuracy: 70.58%
Epoch [128/400], Train Loss: 0.5092, Test Loss: 0.9247, Test Accuracy: 68.93%
Epoch [129/400], Train Loss: 0.5032, Test Loss: 0.8700, Test Accuracy: 71.05%
Epoch [130/400], Train Loss: 0.4983, Test Loss: 0.9342, Test Accuracy: 68.78%
Epoch [131/400], Train Loss: 0.4901, Test Loss: 0.8813, Test Accuracy: 69.60%
Epoch [132/400], Train Loss: 0.4848, Test Loss: 0.8258, Test Accuracy: 71.97%
Epoch [133/400], Train Loss: 0.4840, Test Loss: 0.9140, Test Accuracy: 69.26%
Epoch [134/400], Train Loss: 0.4790, Test Loss: 0.9110, Test Accuracy: 69.17%
Epoch [135/400], Train Loss: 0.4648, Test Loss: 0.9039, Test Accuracy: 69.73%
Epoch [136/400], Train Loss: 0.4646, Test Loss: 0.8388, Test Accuracy: 71.91%
Epoch [137/400], Train Loss: 0.4561, Test Loss: 0.8430, Test Accuracy: 71.74%
Epoch [138/400], Train Loss: 0.4528, Test Loss: 0.8789, Test Accuracy: 70.91%
Epoch [139/400], Train Loss: 0.4508, Test Loss: 0.9218, Test Accuracy: 70.01%
Epoch [140/400], Train Loss: 0.4442, Test Loss: 0.9962, Test Accuracy: 67.58%
Epoch [141/400], Train Loss: 0.4379, Test Loss: 0.8410, Test Accuracy: 71.75%
Epoch [142/400], Train Loss: 0.4317, Test Loss: 0.8589, Test Accuracy: 71.13%
Epoch [143/400], Train Loss: 0.4244, Test Loss: 0.9516, Test Accuracy: 68.98%
Epoch [144/400], Train Loss: 0.4221, Test Loss: 0.9064, Test Accuracy: 69.72%
Epoch [145/400], Train Loss: 0.4167, Test Loss: 1.2282, Test Accuracy: 63.25%
Epoch [146/400], Train Loss: 0.4130, Test Loss: 0.8427, Test Accuracy: 72.21%
Epoch [147/400], Train Loss: 0.4076, Test Loss: 0.8552, Test Accuracy: 72.06%
Epoch [148/400], Train Loss: 0.3972, Test Loss: 0.9019, Test Accuracy: 70.10%
Epoch [149/400], Train Loss: 0.3948, Test Loss: 0.8670, Test Accuracy: 71.55%
Epoch [150/400], Train Loss: 0.3930, Test Loss: 0.9540, Test Accuracy: 69.27%
Epoch [151/400], Train Loss: 0.3903, Test Loss: 0.8781, Test Accuracy: 71.31%
Epoch [152/400], Train Loss: 0.3816, Test Loss: 0.8928, Test Accuracy: 70.79%
Epoch [153/400], Train Loss: 0.3749, Test Loss: 1.0098, Test Accuracy: 68.59%
Epoch [154/400], Train Loss: 0.3763, Test Loss: 0.9273, Test Accuracy: 70.32%
Epoch [155/400], Train Loss: 0.3691, Test Loss: 0.8674, Test Accuracy: 72.00%
Epoch [156/400], Train Loss: 0.3591, Test Loss: 1.0047, Test Accuracy: 68.40%
Epoch [157/400], Train Loss: 0.3577, Test Loss: 1.0269, Test Accuracy: 68.23%
Epoch [158/400], Train Loss: 0.3531, Test Loss: 1.1502, Test Accuracy: 66.23%
Epoch [159/400], Train Loss: 0.3485, Test Loss: 0.9143, Test Accuracy: 71.21%
Epoch [160/400], Train Loss: 0.3426, Test Loss: 0.9168, Test Accuracy: 70.57%
Epoch [161/400], Train Loss: 0.3382, Test Loss: 0.9552, Test Accuracy: 69.51%
Epoch [162/400], Train Loss: 0.3369, Test Loss: 0.9306, Test Accuracy: 70.54%
Epoch [163/400], Train Loss: 0.3312, Test Loss: 0.8860, Test Accuracy: 72.21%
Epoch [164/400], Train Loss: 0.3225, Test Loss: 0.9093, Test Accuracy: 71.46%
Epoch [165/400], Train Loss: 0.3208, Test Loss: 1.0307, Test Accuracy: 68.31%
Epoch [166/400], Train Loss: 0.3177, Test Loss: 0.9500, Test Accuracy: 70.51%
Epoch [167/400], Train Loss: 0.3135, Test Loss: 1.0042, Test Accuracy: 70.13%
Epoch [168/400], Train Loss: 0.3082, Test Loss: 0.9535, Test Accuracy: 70.68%
Epoch [169/400], Train Loss: 0.3054, Test Loss: 1.3196, Test Accuracy: 63.77%
Epoch [170/400], Train Loss: 0.2991, Test Loss: 1.1483, Test Accuracy: 66.57%
Epoch [171/400], Train Loss: 0.2917, Test Loss: 0.9518, Test Accuracy: 70.45%
Epoch [172/400], Train Loss: 0.2892, Test Loss: 0.9681, Test Accuracy: 70.37%
Epoch [173/400], Train Loss: 0.2878, Test Loss: 0.9500, Test Accuracy: 70.88%
Epoch [174/400], Train Loss: 0.2891, Test Loss: 0.9523, Test Accuracy: 70.74%
Epoch [175/400], Train Loss: 0.2799, Test Loss: 1.0098, Test Accuracy: 69.14%
Epoch [176/400], Train Loss: 0.2707, Test Loss: 1.0020, Test Accuracy: 70.63%
Epoch [177/400], Train Loss: 0.2679, Test Loss: 1.0073, Test Accuracy: 70.60%
Epoch [178/400], Train Loss: 0.2634, Test Loss: 1.0534, Test Accuracy: 68.81%
