
Files already downloaded and verified
Epoch [126/500], Train Loss: 0.9470, Test Loss: 1.2474, Test Accuracy: 53.18%
Epoch [127/500], Train Loss: 0.9318, Test Loss: 1.3460, Test Accuracy: 54.48%
Epoch [128/500], Train Loss: 0.9101, Test Loss: 1.4991, Test Accuracy: 48.16%
Epoch [129/500], Train Loss: 0.9360, Test Loss: 1.8428, Test Accuracy: 45.16%
Epoch [130/500], Train Loss: 0.9814, Test Loss: 1.4767, Test Accuracy: 49.76%
Epoch [131/500], Train Loss: 0.9484, Test Loss: 1.4928, Test Accuracy: 45.54%
Epoch [132/500], Train Loss: 0.9218, Test Loss: 1.9830, Test Accuracy: 46.17%
Epoch [133/500], Train Loss: 0.9279, Test Loss: 1.3123, Test Accuracy: 52.88%
Epoch [134/500], Train Loss: 0.8848, Test Loss: 1.1718, Test Accuracy: 58.54%
Epoch [135/500], Train Loss: 0.8951, Test Loss: 1.1888, Test Accuracy: 58.97%
Epoch [136/500], Train Loss: 0.9095, Test Loss: 1.9025, Test Accuracy: 40.95%
Epoch [137/500], Train Loss: 0.9966, Test Loss: 2.3254, Test Accuracy: 34.52%
Epoch [138/500], Train Loss: 0.9241, Test Loss: 2.4347, Test Accuracy: 42.71%
Epoch [139/500], Train Loss: 0.8859, Test Loss: 1.8619, Test Accuracy: 42.80%
Epoch [140/500], Train Loss: 0.8880, Test Loss: 1.5246, Test Accuracy: 49.84%
Epoch [141/500], Train Loss: 0.9029, Test Loss: 1.2323, Test Accuracy: 58.89%
Epoch [142/500], Train Loss: 0.8789, Test Loss: 1.2321, Test Accuracy: 55.64%
Epoch [143/500], Train Loss: 0.8607, Test Loss: 2.3704, Test Accuracy: 35.37%
Epoch [144/500], Train Loss: 0.8852, Test Loss: 1.3524, Test Accuracy: 54.79%
Epoch [145/500], Train Loss: 0.8826, Test Loss: 1.5316, Test Accuracy: 49.76%
Epoch [146/500], Train Loss: 0.9323, Test Loss: 1.8440, Test Accuracy: 45.17%
Epoch [147/500], Train Loss: 0.9302, Test Loss: 1.7843, Test Accuracy: 43.83%
Epoch [148/500], Train Loss: 0.8369, Test Loss: 1.1808, Test Accuracy: 58.28%
Epoch [149/500], Train Loss: 0.8305, Test Loss: 1.1553, Test Accuracy: 58.21%
Epoch [150/500], Train Loss: 0.8155, Test Loss: 1.5036, Test Accuracy: 51.65%
Epoch [151/500], Train Loss: 0.8375, Test Loss: 1.7050, Test Accuracy: 47.99%
Epoch [152/500], Train Loss: 0.8515, Test Loss: 1.4600, Test Accuracy: 52.11%
Epoch [153/500], Train Loss: 0.8426, Test Loss: 1.5170, Test Accuracy: 50.24%
Epoch [154/500], Train Loss: 0.8265, Test Loss: 1.7137, Test Accuracy: 45.57%
Epoch [155/500], Train Loss: 0.8384, Test Loss: 1.3496, Test Accuracy: 54.71%
Epoch [156/500], Train Loss: 0.8019, Test Loss: 1.7637, Test Accuracy: 46.05%
Epoch [157/500], Train Loss: 0.8166, Test Loss: 2.3595, Test Accuracy: 43.73%
Epoch [158/500], Train Loss: 0.8611, Test Loss: 1.4383, Test Accuracy: 49.44%
Epoch [159/500], Train Loss: 0.8055, Test Loss: 1.2242, Test Accuracy: 56.99%
Epoch [160/500], Train Loss: 0.8312, Test Loss: 1.3809, Test Accuracy: 53.29%
Epoch [161/500], Train Loss: 0.8322, Test Loss: 1.1892, Test Accuracy: 59.45%
Epoch [162/500], Train Loss: 0.7881, Test Loss: 1.1244, Test Accuracy: 61.31%
Epoch [163/500], Train Loss: 0.7679, Test Loss: 1.1894, Test Accuracy: 58.83%
Epoch [164/500], Train Loss: 0.7953, Test Loss: 1.4731, Test Accuracy: 53.49%
